industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of cigarettes,1574,2015,A,7,7673,7673,142216633.00,140404574.00,6875357.00,133529217.00,144961356.00,28926414.00,108694858.00,2034714.00,2808395.00,0.00,689.00
"Manufacture of chewing and smoking tobacco, snuff",1576,2015,A,4,929,927,1269719.00,1218312.00,136672.00,1081640.00,1449797.00,951171.00,242914.00,0.00,181281.00,0.00,0.00
Curing and redrying tobacco leaves,1577,2015,A,3,1704,1704,3372550.00,3355246.00,281042.00,3074204.00,3832542.00,2729255.00,429665.00,83264.00,290400.00,0.00,0.00
Spinning,1578,2015,A,15,2254,2253,4387440.00,4063614.00,530779.00,3532836.00,3961495.00,2689769.00,1037890.00,179081.00,75489.00,21022.00,0.00
Weavi ng of textiles,1580,2015,A,17,685,681,656167.00,587697.00,88684.00,499013.00,620279.00,397140.00,215393.00,6442.00,-8636.00,0.00,0.00
Finishing of textiles,1581,2015,A,30,3376,3348,3649170.00,4055709.00,515883.00,3539826.00,3326568.00,2774981.00,300044.00,184851.00,-608461.00,0.00,0.00
Preparation and finishing of textiles (integrated),1582,2015,A,3,353,344,470426.00,397538.00,40975.00,356563.00,542314.00,393122.00,138406.00,0.00,63999.00,0.00,0.00
Manufacture of knitted and crocheted fabrics,1583,2015,A,13,684,679,1084646.00,1052530.00,100391.00,952140.00,1086953.00,901212.00,168235.00,0.00,-10119.00,0.00,0.00
Manufacture of textile industrial bags,1584,2015,A,12,8949,8936,7790220.00,6880980.00,1349561.00,5531419.00,7592947.00,5002190.00,2392952.00,10015.00,-318101.00,0.00,0.00
Manufacture of made-up textile goods for house furnishings,1585,2015,A,23,2990,2986,3552180.00,3487395.00,464090.00,3023305.00,3519727.00,2613352.00,673885.00,60673.00,69709.00,0.00,0.00
Manufacture of canvas products,1586,2015,A,11,2109,2109,1252886.00,1223732.00,448054.00,775680.00,1241235.00,630394.00,517206.00,1902.00,-41532.00,0.00,0.00
"Manufacture of carpets and rugs, except mats of textile materials",1588,2015,A,10,919,916,558921.00,511567.00,89874.00,421693.00,551090.00,356975.00,158129.00,9465.00,10764.00,0.00,0.00
"Manufacture of cordage, rope, and twine",1590,2015,A,11,1763,1757,2280199.00,1984636.00,352365.00,1632270.00,2287567.00,1480635.00,715833.00,6126.00,46834.00,0.00,0.00
"Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",1591,2015,A,4,847,775,1370679.00,1333852.00,168144.00,1165707.00,1430498.00,1196858.00,225790.00,1481.00,-10224.00,2651.00,0.00
Manufacture of embroidered fabrics,1593,2015,A,8,299,298,87703.00,67022.00,28970.00,38052.00,87021.00,25914.00,55889.00,127.00,718.00,0.00,0.00
"Manufacture of narrow fabrics, laces, tulles and other net fabrics",1594,2015,A,14,770,769,476477.00,466503.00,109991.00,356512.00,473584.00,324848.00,137133.00,2985.00,1010.00,0.00,0.00
"Manufacture of fiber batting, padding and upholstery filling including coir",1597,2015,A,10,471,471,613010.00,603089.00,52927.00,550161.00,588765.00,438548.00,87055.00,0.00,34128.00,28.00,0.00
"Manufacture of miscellaneous textiles, n.e.c.",1598,2015,A,4,182,182,130822.00,184298.00,38654.00,145644.00,123028.00,121834.00,-13351.00,5692.00,2329.00,0.00,0.00
Men's and boys' garment manufacturing,1599,2015,A,156,22011,21913,12905592.00,12265246.00,4016078.00,8249168.00,13453179.00,7702223.00,5133304.00,64286.00,652094.00,0.00,0.00
Women's and girls' and babies' garment manufacturing,15100,2015,A,212,40644,40591,26748898.00,23788200.00,6804516.00,16983684.00,26944527.00,14450839.00,10732582.00,488771.00,596856.00,0.00,0.00
Ready-made embroidered garments manufacturing,15101,2015,A,13,2777,2777,434980.00,361256.00,229082.00,132175.00,434872.00,96087.00,317596.00,1443.00,876.00,0.00,0.00
"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",15102,2015,A,26,4196,4184,2313939.00,2233033.00,657840.00,1575193.00,2243903.00,1245406.00,840763.00,41055.00,25467.00,0.00,0.00
"Manufacture of wearing apparel, n.e.c",15103,2015,A,90,23963,23958,10101766.00,9911739.00,4180184.00,5731555.00,10191433.00,4948009.00,4786159.00,144617.00,24815.00,0.00,8313.00
Custom tailoring,15104,2015,A,33,1195,1114,290957.00,239838.00,102738.00,137100.00,280695.00,105715.00,159584.00,70.00,23623.00,0.00,0.00
Custom dressmaking,15105,2015,A,15,444,429,148406.00,165266.00,34857.00,130410.00,134612.00,91204.00,23809.00,652.00,-29752.00,0.00,0.00
Manufacture of knitted and crocheted apparel,15106,2015,A,7,1809,1808,511722.00,511725.00,267180.00,244544.00,517084.00,178139.00,278782.00,0.00,3764.00,0.00,0.00
"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted o r crocheted directly into shape",15107,2015,A,13,1722,1722,2079560.00,1779312.00,378655.00,1400657.00,2033053.00,1058929.00,734275.00,20714.00,-58127.00,0.00,0.00
Tanning and dressing of leather,15109,2015,A,3,199,198,224700.00,212201.00,17305.00,194896.00,230311.00,175889.00,44296.00,2274.00,-4743.00,0.00,0.00
"Manufacture of luggage, handbags and wallets of leather and imitation leather",15110,2015,A,49,11372,11315,7240197.00,6641868.00,1526549.00,5115319.00,7008077.00,4527367.00,2329557.00,272992.00,-1093.00,0.00,0.00
"Manufature of products of leather and imitation leather, n.e.c.",15111,2015,A,11,8476,8474,17444857.00,15460477.00,1640470.00,13820007.00,17311741.00,12170042.00,4363764.00,101183.00,-1451473.00,0.00,0.00
Manufacture of leather shoes,15112,2015,A,47,4042,3987,2245684.00,2144393.00,418696.00,1725696.00,2263738.00,1486531.00,633015.00,37347.00,79118.00,0.00,0.00
Manufacture of rubber shoes,15113,2015,A,9,1006,1004,560005.00,556288.00,125537.00,430751.00,567470.00,415302.00,139047.00,4873.00,34221.00,0.00,0.00
Manufacture of rubber slippers,15117,2015,A,13,1093,1092,1035570.00,993092.00,183309.00,809784.00,1066359.00,771819.00,277975.00,10785.00,43043.00,0.00,0.00
"Manufacture of slippers and sandals, other than rubber",15118,2015,A,16,1126,1086,450433.00,431498.00,75724.00,355774.00,448531.00,321720.00,111618.00,3953.00,-16823.00,0.00,0.00
Manufacture of leather parts of footwear,15119,2015,A,7,656,654,547826.00,540567.00,122751.00,417816.00,552292.00,262341.00,164734.00,37056.00,12652.00,0.00,0.00
Manufacture of rough lumber,15121,2015,A,24,1929,1910,1292474.00,1152881.00,150213.00,1002668.00,1289196.00,849664.00,349036.00,9404.00,25868.00,0.00,0.00
Manufacture of worked lumber,15122,2015,A,3,92,89,63036.00,58474.00,11076.00,47398.00,62560.00,36542.00,25050.00,0.00,9259.00,0.00,0.00
"Sawmilling and planing of wood products, n.e.c.",15124,2015,A,3,68,63,76020.00,79449.00,6704.00,72745.00,149411.00,123621.00,16467.00,0.00,14447.00,0.00,0.00
Manufacture of veneer sheets and plywood,15125,2015,A,35,4890,4881,9012757.00,7748639.00,819986.00,6928653.00,9035305.00,6048317.00,2391452.00,151086.00,-32063.00,0.00,0.00
"Manufacture of wooden window and door screens, shades and venetian blinds",15127,2015,A,4,370,370,714702.00,675309.00,88809.00,586500.00,719895.00,494354.00,160676.00,6108.00,16654.00,0.00,0.00
Manufacture of other builders' carpentry and joinery; millworking,15128,2015,A,13,5168,5155,24266272.00,22821332.00,933126.00,21888206.00,24419581.00,20949260.00,2774764.00,557034.00,607330.00,0.00,0.00
Manufacture of wooden containers,15129,2015,A,12,494,488,322678.00,308658.00,49851.00,258807.00,319532.00,227052.00,75168.00,5745.00,-20977.00,0.00,0.00
Manufacture of wood carvings,15130,2015,A,24,1510,1491,533410.00,504071.00,124178.00,379893.00,534551.00,282996.00,198397.00,25304.00,15967.00,45.00,0.00
Manufacture of charcoal outside the forest,15131,2015,A,4,366,363,716420.00,654786.00,40156.00,614630.00,707283.00,567564.00,148964.00,4913.00,20886.00,0.00,0.00
Manufacture of rattan and cane containers,15133,2015,A,5,331,331,218144.00,187526.00,31955.00,155570.00,208793.00,139999.00,58384.00,7616.00,-9928.00,0.00,0.00
Manufacture of small cane wares,15135,2015,A,22,911,885,899249.00,785238.00,153416.00,631822.00,885146.00,533962.00,294478.00,13415.00,-1266.00,0.00,0.00
"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e .c.",15138,2015,A,16,973,963,684197.00,624505.00,178639.00,445866.00,657188.00,340570.00,280203.00,32815.00,-514.00,0.00,0.00
"Integrated pulp,paper and paperboard milling",15139,2015,A,10,919,913,2692612.00,2613414.00,227267.00,2386147.00,2649959.00,2122979.00,415065.00,4377.00,-49918.00,0.00,0.00
Pulp milling,15140,2015,A,7,704,704,4946448.00,4815737.00,207772.00,4607965.00,4964998.00,4348171.00,458808.00,59033.00,44160.00,0.00,0.00
Paper and paperboard milling,15141,2015,A,23,3210,3210,18318217.00,17011078.00,1134270.00,15876808.00,18510548.00,13779914.00,3089315.00,337254.00,-67744.00,0.00,0.00
Manufacture of hand-made paper,15142,2015,A,5,720,720,91113.00,89078.00,32582.00,56496.00,83016.00,30430.00,42103.00,0.00,-4503.00,0.00,0.00
"Manufacture of pulp, paper and paperboard, n.e.c.",15143,2015,A,11,748,746,2776669.00,2380084.00,140450.00,2239635.00,2020430.00,1317024.00,586512.00,7590.00,-120923.00,0.00,0.00
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,15144,2015,A,83,8187,8176,27915880.00,24394266.00,1521493.00,22872773.00,27524911.00,20682887.00,5844232.00,503359.00,159923.00,0.00,0.00
Manufacture of household and personal hygiene paper and cellulose wadding products,15145,2015,A,15,1955,1954,4715509.00,4523865.00,284620.00,4239245.00,4598866.00,3395447.00,660842.00,4842.00,-218175.00,0.00,0.00
"Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",15146,2015,A,7,1005,1005,5230007.00,4921942.00,182747.00,4739194.00,5053308.00,4170022.00,579746.00,17921.00,-186147.00,0.00,0.00
Manufacture of other articles of paper,15147,2015,A,43,4685,4681,12800809.00,11771125.00,980696.00,10790429.00,12848646.00,9975783.00,2419330.00,339662.00,163950.00,138973.00,0.00
Manufacture of other articles of paperboard,15148,2015,A,13,635,632,1861668.00,1597878.00,406465.00,1191413.00,1862761.00,921499.00,798976.00,10118.00,16194.00,0.00,0.00
Printing,15149,2015,A,317,16376,16267,25757998.00,23656467.00,3380443.00,20276024.00,25660140.00,16566856.00,6857220.00,128120.00,414365.00,0.00,0.00
"Service activities related to printing, n.e.c.",15152,2015,A,20,885,885,1292698.00,1191808.00,152644.00,1039164.00,1272116.00,928126.00,284345.00,6136.00,4703.00,0.00,0.00
"Reproduction of floppy, hard or compact disks",15154,2015,A,3,407,407,356967.00,303688.00,52871.00,250817.00,355972.00,185886.00,119626.00,4762.00,3778.00,0.00,0.00
Manufacture of refined petroleum products,15156,2015,A,11,3046,3043,401329171.00,388688272.00,6094055.00,382594217.00,388664642.00,331480265.00,35168809.00,15244243.00,-27226000.00,0.00,0.00
Manufacture of ethanol,15158,2015,A,3,621,621,3511100.00,3238227.00,153772.00,3084456.00,3355400.00,2583910.00,578025.00,104665.00,-13587.00,0.00,0.00
Manufacture of industrial (compressed and liquefied) gases,15159,2015,A,37,2380,2368,16481068.00,13831618.00,1151316.00,12680302.00,15233119.00,9867465.00,4155916.00,1029634.00,169809.00,0.00,0.00
Manufacture of inorganic salts and compounds,15160,2015,A,5,331,331,14901252.00,14577890.00,180867.00,14397023.00,14313266.00,13958214.00,215274.00,720706.00,-542876.00,0.00,112500.00
Manufacture of ethyl alcohol,15161,2015,A,4,363,363,3950143.00,3441900.00,156438.00,3285462.00,3981547.00,2632139.00,1075068.00,105636.00,194543.00,0.00,0.00
Manufacture of alcohol except ethyl/ethanol,15162,2015,A,4,663,663,5886368.00,4863445.00,559870.00,4303575.00,5941861.00,2908607.00,1667915.00,279809.00,120745.00,0.00,0.00
"Manufacture of inorganic acids, alkalis and chlorine",15163,2015,A,3,126,126,154984.00,187915.00,20968.00,166947.00,152871.00,95083.00,47420.00,821.00,-2137.00,0.00,0.00
Manufacture of organic acids and organic compounds,15164,2015,A,5,248,248,534843.00,527998.00,56651.00,471347.00,534563.00,436974.00,85074.00,8931.00,-36163.00,0.00,0.00
"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",15165,2015,A,13,1401,1401,23497960.00,22382558.00,677977.00,21704582.00,24055908.00,20827611.00,2161650.00,1870167.00,508485.00,0.00,0.00
Manufacture of fertilizers and nitrogen compounds,15166,2015,A,9,1352,1352,17286460.00,17103160.00,622563.00,16480597.00,17170398.00,13140455.00,2618903.00,130430.00,108794.00,0.00,0.00
Manufacture of plastic synthetic resins,15167,2015,A,13,865,865,15825297.00,15147134.00,381422.00,14765712.00,14194690.00,12056144.00,1472216.00,124639.00,-1670225.00,0.00,0.00
Manufacture of plastic materials except man-made fiber and glass fiber,15168,2015,A,4,334,334,281958.00,257260.00,59031.00,198228.00,281079.00,152342.00,98321.00,18526.00,7220.00,0.00,0.00
Manufacture of pesticides and other agro-chemical products,15169,2015,A,11,872,872,8343386.00,7802947.00,490389.00,7312557.00,8444836.00,5983249.00,1592938.00,12532.00,406858.00,0.00,0.00
Manufacture of paints,15170,2015,A,36,3643,3643,32042910.00,28678219.00,1039174.00,27639045.00,31253082.00,24834452.00,4974760.00,294100.00,-583254.00,0.00,0.00
Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters,15173,2015,A,3,240,240,2715250.00,2143731.00,76851.00,2066880.00,2554367.00,2053572.00,420603.00,67283.00,59582.00,0.00,0.00
Manufacture of printing ink,15174,2015,A,16,997,997,2889638.00,2740776.00,244221.00,2496555.00,2740020.00,2089219.00,500492.00,22039.00,-147728.00,0.00,0.00
"Manufacture of paint products, n.e.c.",15175,2015,A,4,204,204,975419.00,916713.00,59992.00,856720.00,891234.00,743340.00,139726.00,10251.00,47569.00,0.00,0.00
Manufacture of soap and detergents,15176,2015,A,40,4796,4791,89845812.00,72129953.00,2874020.00,69255933.00,87845793.00,59277750.00,21967147.00,37134.00,-163088.00,0.00,0.00
"Manufacture of perfumes, cosmetics and other toilet preparations",15179,2015,A,51,5626,5618,16183268.00,14850338.00,1784460.00,13065878.00,15816869.00,9421516.00,4022375.00,489084.00,-77930.00,0.00,0.00
"Manufacture of explosives, fireworks and firecrackers",15180,2015,A,4,716,714,2934434.00,2232196.00,246527.00,1985669.00,2879037.00,1648911.00,992560.00,1142.00,-106887.00,0.00,0.00
Manufacture of matches,15181,2015,A,3,909,898,1393043.00,1228346.00,214301.00,1014045.00,1383643.00,696216.00,488368.00,12329.00,58433.00,0.00,0.00
Manufacture of writing and drawing ink,15182,2015,A,3,233,233,305064.00,298261.00,41466.00,256796.00,306054.00,194031.00,61669.00,1477.00,9223.00,0.00,0.00
Manufacture of glues and adhesives,15183,2015,A,13,1292,1292,8357656.00,6582174.00,617555.00,5964619.00,8365992.00,4660741.00,2724486.00,78089.00,32468.00,0.00,0.00
Manufacture of activated carbon,15184,2015,A,5,359,359,2622356.00,2518722.00,130660.00,2388062.00,2552890.00,2107835.00,286789.00,58179.00,74210.00,0.00,0.00
"Manufacture of miscellaneous chemical products, n.e.c.",15185,2015,A,9,1116,1116,5192787.00,1445486.00,311582.00,1133905.00,1695316.00,618372.00,686260.00,51715.00,45407.00,0.00,0.00
"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",15188,2015,A,84,13704,13666,70911473.00,63510389.00,7169673.00,56340716.00,50486418.00,23918276.00,15245831.00,3233323.00,-1194681.00,0.00,0.00
"Manufacture of surgical dressings, medicated wadding , fracture bandages, catgut, and other prepared sutures",15189,2015,A,3,480,480,496656.00,445774.00,66274.00,379501.00,484568.00,318912.00,131031.00,0.00,-22633.00,0.00,0.00
Manufacture of rubber tires (including parts) and tubes,15190,2015,A,7,3793,3758,17483426.00,15850325.00,1338320.00,14512005.00,16743618.00,10482664.00,5686767.00,2492309.00,-478227.00,0.00,0.00
Retreading and rebuilding of tires,15191,2015,A,3,131,129,103459.00,90541.00,18574.00,71968.00,89599.00,50897.00,35423.00,2067.00,-1239.00,0.00,0.00
Manufacture of rubber garments,15192,2015,A,3,162,162,100190.00,85108.00,29214.00,55894.00,106614.00,56089.00,46803.00,4746.00,5275.00,0.00,0.00
"Manufacture of industrial and other molded rubber products, excluding tires and tubes",15193,2015,A,56,7615,7612,10095229.00,9300092.00,1559114.00,7740978.00,9860319.00,6199821.00,2956115.00,271054.00,139814.00,644.00,0.00
"Manufacture of other rubber products, n.e.c.",15194,2015,A,20,1305,1305,2065447.00,1602815.00,187401.00,1415413.00,2000240.00,1229529.00,664146.00,10937.00,-249.00,0.00,0.00
"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",15195,2015,A,252,24108,23980,57677799.00,55651873.00,5291033.00,50360840.00,57163617.00,44090806.00,10321282.00,1043181.00,-805677.00,97945.00,0.00
Manu facture of plastic household wares,15196,2015,A,42,2650,2650,6866804.00,6359291.00,692961.00,5666330.00,6902781.00,5264513.00,1320214.00,88993.00,7471.00,0.00,0.00
Manufacture of plastic pipes and tubes,15198,2015,A,38,3727,3700,12071736.00,11201775.00,896662.00,10305114.00,11962683.00,9028646.00,2160942.00,64299.00,-203182.00,1990.00,0.00
"Manufacture of other plastic, industrial /office/school supplies",15199,2015,A,53,8209,8202,13888160.00,12705738.00,2043176.00,10662562.00,12921118.00,8215448.00,3884297.00,704048.00,-600468.00,0.00,0.00
"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",15200,2015,A,12,644,644,1974779.00,2010683.00,142741.00,1867942.00,1958652.00,1554914.00,312397.00,20968.00,61208.00,0.00,0.00
"Manufacture of plastic window and door screen, shades and venetian blinds",15202,2015,A,10,690,690,1354557.00,1284545.00,115066.00,1169479.00,1399639.00,1105325.00,222524.00,44484.00,9613.00,0.00,0.00
"Manufacture of plastics products, n.e.c.",15203,2015,A,81,6982,6980,9590729.00,9009717.00,1218037.00,7791680.00,9643016.00,6875884.00,2253167.00,273838.00,14343.00,0.00,0.00
Manufacture of flat glass (including float glass),15204,2015,A,10,995,995,4437963.00,4943598.00,490142.00,4453456.00,4209532.00,3185054.00,508052.00,419.00,-397858.00,0.00,0.00
Manufacture of glass containers,15205,2015,A,6,1228,1228,9515615.00,7937820.00,950207.00,6987613.00,9231907.00,4475405.00,3986246.00,492060.00,-264460.00,0.00,0.00
Manufacture of glass fibers (including glass wool) and yarn of glass fibers,15206,2015,A,11,1502,1492,1837651.00,1787436.00,288916.00,1498519.00,1820575.00,1242650.00,425230.00,27797.00,42424.00,0.00,0.00
